,Cleaned_English_Tweets,overall_sentiment
9215,bale rudduthundi madam nammu tym ina okegrp discuss chesi tweets epinchu amb,neutral
9220,filmi indian low n horrible scold words times creature troll n overly degrade actors n ppls hardwork fear god time slap stop posting silly expressions,negative
9221,appreciate taking task writing times,positive
9224,mohini mm theater gajuwaka day gross total days gross today onwards running single screen,negative
9225,support maker staged exhibitor decide casting watch rough cut film flopped jailed constitution cbfc cleared film time dialogues etal changed,negative
9226,daily routine,neutral
9227,box office records films hindi opening ww grossers opening india hattrick grossers weeknd nett disaster talk nett films grosser hindi legend,negative
9229,telugu highest share movies month wise jan feb mar apr jun running jul aug sep oct nov dec,positive
9230,kind films malayalam tamil film industry defamedinsulted hindu gods goddesses sad telugu kannada film industry south india film industries secular film industries insults lords,negative
9235,chennai telugu version tommorow advance fast filling,neutral
9237,south actors movie hindi nett prabhas movies,neutral
9239,sir daily box office collection compare movies week day day bo collection moveis adipurush r plz reply,neutral
9240,amb st week telugu gross high rates,negative
9243,assalu chittoor theatre count adigithe cheppaled vaductr big theatres release ayyi full ayyayi highest adekaani vadu svpgtgtadipurush antunadu dought ga undi,neutral
9244,crosses gross mark overseas grossers overseas rest tfi,negative
9245,shiv sena hindustan party yuva state president ganesh choudhary protest hari singh park adi purush film demands government ban film,negative
9249,arrogance disrespect shown makers punished audiences allowed happen reduced vedic scholar car sticker launched counter tshirt asked whats,negative
9250,show time,neutral
9251,actual collection fool,negative
9252,watch caution knowing vfx story characterization dialogues,neutral
9253,disaster collections st day paltry crs thursday,negative
9254,dialogues changed movie confirm,neutral
9256,crosses gross mark overseas grossers overseas rest tfi,negative
9258,worst box office collection adipurush th day,negative
9259,fan target months peoples trolling prabhas youtube channel target fear viedo,negative
9260,showtime,neutral
9262,sequence world loved possible convey fans liking fans reach social media,positive
9266,amidst lots criticism listen music tracks awesome,neutral
9267,usa gross languages expected cross million friday,negative
9268,gave music composed directed shock alwz fan song neevente nenu,negative
9269,prabhas budget business recoveries c loss c loss c x c media factory losses x full run distributor losses budget recovery gurinchi eellu matladadam nenu dengestha,negative
9270,challenge heros fans movies prabhas opening day hero match stardom prabhas,positive
9273,intha pedda analysis lu pattukocharu andharu kalmasham leni manusu chusthe kadha edhaina nachedhi aa heart innocence undedhi kids,positive
9284,spreading negativity social media watched movie power negative propaganda,negative
9286,facilitated deep discussion ramayana social media platforms efforts om raut appreciable priest agree,positive
9287,eluru city day total gross total days city gross,negative
9289,exclusive siya rams aashiesh sharrma slams adipurush cultural crime lazy attempt ramayana interviewed,negative
9290,resumes hindi films screening ban starrer place,negative
9292,confirmed cancelled weeks ott release theatrical run agreement streaming july preponding august,neutral
9294,holy yajurveda chapter mantra kavir maneeshi swayambhuh paribhu vyavadhata god kabir sahib ji omniscient appears eternal god created universes kabir god real,positive
9296,reportedly manoj muntashir received police protection death threats director om raut asked,negative
9298,svp face hate propaganda joined tv channels unfit clueless youtube influencers,negative
9299,crosses gross mark overseas grossers overseas bb bb saaho adipurush rest tfi rrr ee year th movie loading overseas ante m anukunee pilla kodukulaki emm telustayi ivvani,negative
9300,city day total gross total days city gross,negative
9303,week ww bo opening mammoth negativity spread movie definitely panindia star note pure hindi film day day day day day day day,negative
9308,matter success failure movie showing impact children helping kids indian history ithihasas successful attempt,positive
9309,fuck senators made minutes speech mistakes hey clappedmy answer awesome movie,negative
9313,nepal resumes screening hindi movies adipurush continues face ban,negative
9314,top ten hindi nett h days days,neutral
9316,months time start sympathizing kind masterpiece film indians deserve,positive
9317,guys insta stop laughing perfect bezzati om raut manoj muntashir,positive
9318,box office collection starrer crosses crores worldwide,neutral
9320,collection cross lead movie box office collection worldwide definitely possible reviews,positive
9321,nepal court lifted ban adipurush kathmandus mayor opposing films release nepal faces uncertain future read full,negative
9322,divided heros united tollywood chillar bitch attention lets give style,neutral
9323,southies stop appropriating indian yaani north indian culture committing atrocities,negative
9326,adipurush aiequipped artist reimagines lead actors web story,neutral
9327,family tickets jai shree ram,neutral
9328,days gross lacs including d charges approx lacs,negative
9329,box office records films hindi opening ww grossers opening india hattrick grossers weeknd nett disaster talk nett films grosser hindi,negative
9330,happily reported sooo accounts span days week shld hv long time back ppl r worth time talks r shits flushed sight,neutral
9333,gave pathetic mocumentary stars hatred evident,negative
9335,corrected,neutral
9336,box office day starrer faces major drop numbers,negative
9337,ittu ra raa lucha excellent bookings day amb anni vesav st week amb multiplex shows k ff s k ff,positive
9340,crosses gross mark overseas grossers overseas rest tfi,negative
9342,amb week gross admits admits incl h admits occupancy admits kingu,positive
9343,totally stand movie proud,positive
9344,amb multiplex telugu st week gross films,negative
9345,amb cinemas st week gross,negative
9346,big weekend pune boxoffice loading,neutral
9348,nepal resumes screening hindi movies,neutral
9350,father watch move bruh rumours disaster sene ravanas entry sene suited ravan,negative
